document_id,arm_id,Combined follow up_old,Combined follow up_new,Abstinence type_old,Abstinence type_new,Abstinence: Continuous _old,Abstinence: Continuous _new,Abstinence: Point Prevalence _old,Abstinence: Point Prevalence _new,6451791_old,6451791_new,6451788_old,6451788_new,6080485_old,6080485_new,Manually added follow-up duration value_old,Manually added follow-up duration value_new,Manually added follow-up duration units_old,Manually added follow-up duration units_new,6080481_old,6080481_new,6080512_old,6080512_new,6823485_old,6823485_new,1.1.Goal setting_old,1.1.Goal setting_new,6452746_old,6452746_new,3.1 Social support_old,3.1 Social support_new,6452831_old,6452831_new,6452838_old,6452838_new,6452948_old,6452948_new,6452949_old,6452949_new,6080704_old,6080704_new,pychologist_old,pychologist_new,aggregate patient role_old,aggregate patient role_new,6080518_old,6080518_new,6080719_old,6080719_new,"Pregnancy trial 1 = yes, 2 = mix pg and non-pg_old","Pregnancy trial 1 = yes, 2 = mix pg and non-pg_new","Relapse prevention trial (1 = yes, 2 = mix of quitters and non-abstinent)_old","Relapse prevention trial (1 = yes, 2 = mix of quitters and non-abstinent)_new",6080694_old,6080694_new
423065,2012,26,26.1,,PP,,0,,1,,8.3,,,21,21.3,,,,,44,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437578,2795,,,,PP,,0,,1,,30.3,,,,,,,,,44,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437578,2794,,,,PP,,0,,1,,31.1,,,,,,,,,47,46.6,17,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437499,2182,26,26.1,,PP,,0,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437499,2181,26,26.1,,PP,,0,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296289,760,52,52.2,,PP,,0,,1,,24,,,,,,,,,28,27.8,5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
296289,759,52,52.2,,PP,,0,,1,,23,,,,,,,,,28,27.5,5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
296289,758,52,52.2,,PP,,0,,1,,25,,,,,,,,,28,27.7,5,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
252912,9,,26.1,,NCS,,0,,0,,14,0,1,,,,6,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252912,10,,26.1,,NCS,,0,,0,,9,0,1,,,,6,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321085,683,26,26.1,,NCS,,0,,0,,38.5,,,54,53.8,,,,,46,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321085,682,26,26.1,,NCS,,0,,0,,50.8,,,69,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296351,426,26,26.1,,NCS,,0,,0,,40.8,,,24,23.5,,,,,61,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296351,425,26,26.1,,NCS,,0,,0,,60,,,15,15.4,,,,,60,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263291,410,26,26.1,,C,,1,,0,,3,,,,,,,,,53,53.2,15,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263291,409,26,26.1,,C,,1,,0,,28.4,,,,,,,,,56,56.4,15,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263140,237,26,26.1,,PP,,0,,1,,6.8,,,,,,,,,61,60.7,18,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263140,236,26,26.1,,PP,,0,,1,,21.3,,,,,,,,,60,59.8,19,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263058,129,,52.2,,C,,1,,0,,3.4,0,1,,,,12,,months,37,37.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263058,130,,52.2,,C,,1,,0,,0.7,0,1,,,,12,,months,37,37.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437472,2354,13,13.05,,C,,1,,0,,13.9,,,36,35.64,,,,,54,53.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437472,2355,13,13.05,,C,,1,,0,,14.4,,,43,42.57,,,,,56,55.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263289,407,180,25.71,,NCS,,0,,0,,44,,,,,,180,,days,35,35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263289,408,180,25.71,,NCS,,0,,0,,27.4,,,,,,180,,days,37,37.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423120,2103,,26.1,,PP,,0,,1,,27,0,1,,,,6,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423120,2104,,26.1,,PP,,0,,1,,40,0,1,,,,6,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296383,761,52,52.2,,C,,1,,0,,6.1,,,,,,,,,,,24,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296383,762,52,52.2,,C,,1,,0,,4.6,,,,,,,,,,,22,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
